,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200804,3.1147,3.6006,0.7283,0.6076,0.6931,2.9074,4.269,3.5024,2.8608,0.518,7.0301,6.7131,9.0039,9.8693,7.5178,6.069,6.7068,5.8735,7.9946,2.7127,3.4018,3.4689,7.1656,4.1075,6.7843
200805,5.7811,4.154,2.2801,3.4462,1.6511,7.1292,3.4555,8.0308,5.6,1.7774,4.0807,3.554,6.8006,6.384,4.6196,4.2541,5.2897,3.8552,5.018,2.8179,3.5379,-0.3829,0.7596,-1.8063,1.7342
200806,-6.1825,-8.8938,-11.0805,-7.2317,-9.9352,-7.6455,-7.1622,-5.1518,-8.2743,-11.4978,-8.5346,-6.968,-6.8226,-7.0677,-6.4044,-7.0778,-8.9035,-9.8108,-5.534,-13.3582,-7.0598,-7.1304,-9.2105,-13.0804,-10.9219
200807,4.9339,4.467,4.9614,7.1244,3.3282,1.6653,2.8403,4.3669,3.5441,8.0658,-0.4981,0.1651,1.7401,-0.4978,5.7813,-0.3834,-1.5197,-7.7772,-2.129,-2.2264,-1.3314,-2.015,-1.8765,2.9456,7.9544
200808,1.1521,3.1488,2.9276,3.0791,6.8269,4.5475,4.5907,3.6273,5.4793,12.2307,3.1565,2.9956,4.4158,2.445,5.8631,1.0871,1.7955,2.0363,4.5553,2.5669,1.1373,1.5196,2.2763,-2.3974,0.1652
200809,-13.0726,-9.5411,-8.5935,-3.5287,-6.4629,-9.0349,-8.4878,-6.863,-4.5712,-6.8291,-13.7939,-11.5461,-8.1092,-6.6984,-6.0863,-13.1923,-13.3788,-14.7892,-10.4963,-8.7459,-9.4491,-8.6902,-7.0445,-7.8547,-3.5922
200810,-23.559,-20.0985,-18.9893,-15.3588,-21.6947,-22.6368,-23.2907,-18.6709,-19.5778,-20.8258,-22.9838,-18.2728,-17.4767,-19.9244,-20.3843,-20.7301,-20.3644,-25.2882,-22.4032,-18.7466,-14.4216,-15.5026,-13.0837,-27.0162,-16.8453
200811,-12.7871,-12.3466,-12.3982,-11.8075,-16.1823,-11.0705,-10.5662,-10.538,-9.6981,-16.7425,-11.7271,-10.2624,-9.3266,-9.2844,-6.7783,-8.2913,-8.9202,-9.2346,-8.8313,-15.2947,-6.0047,-4.5704,-6.7508,-13.9905,-17.1924
200812,2.6589,6.323,5.6862,2.6057,4.24,3.9507,6.3077,6.2678,5.4634,6.9404,6.6119,3.3735,4.4795,-0.1662,10.2627,4.3912,6.636,2.7664,2.4852,1.3199,1.5068,0.9706,0.4682,-1.8059,3.6935
200901,-6.7877,-7.7474,-9.7263,-15.751,-15.3064,-7.1295,-5.2765,-11.1086,-13.9183,-19.5914,-5.9841,-8.7278,-8.7114,-6.6411,-18.3193,-4.4718,-6.2422,-6.7014,-9.0176,-17.0359,-3.2478,-9.7497,-10.8447,-18.8152,-12.6531
